0,1,2,3,4,5,cov
NC_074749.1,GCA_039908025_52,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_019857345_44,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_039908075_52,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_030121875_1,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_039830125_65,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_035205985_39,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_035205985_37,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_032598925_48,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_032598925_0,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_018138045_44,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_015832075_45,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_015832075_44,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_019857265_45,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_019857265_44,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_018138045_44,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_015832075_45,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_015832075_44,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_019434235_22,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_019434235_21,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_019857505_60,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_019857505_44,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_042666995_3,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_015832055_71,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_015832055_25,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_030034655_45,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_030034655_44,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_019720855_48,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_040562075_1,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_040562075_0,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_032847385_37,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_019738995_41,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_030034655_45,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_030034655_44,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_019857265_45,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_019857265_44,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_030121875_1,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_032847385_37,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_019857585_60,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_019857585_44,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_019857545_71,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_019857545_25,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_019710495_44,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_031326305_76,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_031326305_75,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_031326305_38,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_019738995_41,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_027595025_71,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_032463705_64,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_032463705_63,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_030366015_75,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_030366015_74,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_014792125_42,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_035205985_39,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_035205985_37,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_030034635_45,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_030034635_44,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_019857605_26,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_019857605_12,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_039830125_65,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_024652945_22,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_024652945_21,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_042666995_3,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_039512425_26,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_039512425_12,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_028751785_31,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCA_014792125_42,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_019857305_45,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_019857305_44,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_019857605_26,1.89e-25,90.323,93,93,1.0
NC_074749.1,GCF_019857605_12,1.89e-25,90.323,93,93,1.0
